tweet_id,text,createdat,location
1315541229162037248,"RT @NibeditaSenap10: #JOINALLMEDICALFIT_SSCGD18
Please sir seat INCREASE karo &amp; sari DME +RME fit candidate ko joining do....🙏🙏
@PMOIndia…",2020-10-12 06:34:05,
1315541225949208576,@D0MJE0NS we know,2020-10-12 06:34:04,ara
1315541225630564352,"RT @TS_SinghDeo: Suspicious has become synonymous to any investigation BJP is associated with, especially crimes against women. It's no sur…",2020-10-12 06:34:04,"Ambikapur, India"
1315541223923302400,"RT @assampolice: On this #AssamPoliceDay, we bow our heads in reverence and salute the brave #CoronaWarriors of Assam Police, who laid down…",2020-10-12 06:34:04,"Biswanath Chariali, India"
1315541222564401152,"Chor do jaan Civic ki. 😂😂
Literally every third tweet on my TL is about a Civic. https://t.co/3mg5YyBvns",2020-10-12 06:34:03,Islamabad
1315541222245638147,@BTS_twt Im so excited for your birthday:))),2020-10-12 06:34:03,"Nagaland, India"
1315541221713027073,@RahulGandhi 9789 88 TH 89788979880 SH 8ui9 our meeting,2020-10-12 06:34:03,"Motihari, India"
1315541220886675456,"Really. 
Its surprising. In china Uighur Muslim are in most critical situations but @OmarAbdullah father how to say… https://t.co/wwh8newfvD",2020-10-12 06:34:03,Noida
1315541219422986240,"Only #SpeakUpForWomenSafety not work. 
Must kick out CM of UP. 
Then women safe in UP. 
Don’t forget what he says b… https://t.co/EGEr9j5p1A",2020-10-12 06:34:02,"Kolkata, India"
1315541218537865217,"RT @KKRiders: Muscle Russell has LANDED 💪

Fancy knocking a few into orbit tonight? 😉

@Russell12A #GalaxyOfTheKnights #KKRHaiTaiyaar #KKRv…",2020-10-12 06:34:02,"पूर्णिया, भारत"
1315541217107640320,RT @Ghalibonawave: People in London how far?? We can’t just end yesterdays protest there oh! We need to mobilize and continue! Whether it’s…,2020-10-12 06:34:02,Nigeria
1315541216616878080,"RT @chandra_aimhigh: What is this country ruled by you @narendramodi where nobody can get justice, where the wrong and corrupt side is alwa…",2020-10-12 06:34:02,Rajasthan
1315541213802504193,"RT @Shumona13: Today is lovely weather 🥰
Awwwwww.. https://t.co/TFa8UZ4LAU",2020-10-12 06:34:01,"New York, USA & Tokyo,JP"
1315541213630525445,Mayor of Dhaka North City Corporation (DNCC) Atiqul Islam and his wife Dr Shayla Shagufta Islam have been infected… https://t.co/XSdm3Hb1RU,2020-10-12 06:34:01,Bangladesh
1315541213240385537,"RT @ajaykeshari57: Good Morning friends..🙏🌹🌹
Enjoy life.. https://t.co/ftDJEdxYus",2020-10-12 06:34:01,"Rajasthan, India"
1315541213185892356,"RT @TannuPriyah: Hello everyone

We are doing a ground protest on 14th October at Patna. @GHiwarkar will also be joining us.

Need people w…",2020-10-12 06:34:01,
